timestamp,namespace,pod_name,container_name,container_role,cpu_usage,memory_usage
2026-05-16T18:04:26.559216+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-2-7dd948d8d8-9mt5s,inference,app,136m,269Mi
2026-05-16T18:04:26.559216+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-2-7dd948d8d8-9mt5s,istio-proxy,istio-proxy,10m,41Mi
2026-05-16T18:04:26.559216+00:00,rq21b-client-mtls,benchmark-client,client,app,1m,0Mi
2026-05-16T18:04:31.902131+00:00,aks-istio-system,istiod-asm-1-29-75c9d9c6bd-dqx7x,discovery,app,12m,40Mi
2026-05-16T18:04:31.902131+00:00,aks-istio-system,istiod-asm-1-29-75c9d9c6bd-s4967,discovery,app,4m,45Mi
2026-05-16T18:04:31.902131+00:00,kube-system,azure-ip-masq-agent-9vznx,azure-ip-masq-agent,app,1m,7Mi
2026-05-16T18:04:31.902131+00:00,kube-system,azure-ip-masq-agent-jcs77,azure-ip-masq-agent,app,1m,9Mi
2026-05-16T18:04:31.902131+00:00,kube-system,azure-ip-masq-agent-tf22n,azure-ip-masq-agent,app,1m,6Mi
2026-05-16T18:04:31.902131+00:00,kube-system,azure-ip-masq-agent-vlrs9,azure-ip-masq-agent,app,1m,7Mi
2026-05-16T18:04:31.902131+00:00,kube-system,cloud-node-manager-72w6m,cloud-node-manager,app,1m,22Mi
2026-05-16T18:04:31.902131+00:00,kube-system,cloud-node-manager-pc4nw,cloud-node-manager,app,1m,16Mi
2026-05-16T18:04:31.902131+00:00,kube-system,cloud-node-manager-rbckw,cloud-node-manager,app,1m,18Mi
2026-05-16T18:04:31.902131+00:00,kube-system,cloud-node-manager-wlzdd,cloud-node-manager,app,1m,19Mi
2026-05-16T18:04:31.902131+00:00,kube-system,coredns-56cdfd466c-j2md8,coredns,app,2m,25Mi
2026-05-16T18:04:31.902131+00:00,kube-system,coredns-56cdfd466c-rpk4p,coredns,app,2m,20Mi
2026-05-16T18:04:31.902131+00:00,kube-system,coredns-autoscaler-7b4685fdfc-ddv2k,autoscaler,app,1m,12Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-45q55,azuredisk,app,1m,17Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-45q55,liveness-probe,app,1m,14Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-45q55,node-driver-registrar,app,1m,10Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-f6pmj,azuredisk,app,1m,16Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-f6pmj,liveness-probe,app,1m,18Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-f6pmj,node-driver-registrar,app,1m,10Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-hw9fp,azuredisk,app,1m,17Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-hw9fp,liveness-probe,app,1m,16Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-hw9fp,node-driver-registrar,app,1m,13Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-p5swn,azuredisk,app,1m,17Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-p5swn,liveness-probe,app,1m,15Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azuredisk-node-p5swn,node-driver-registrar,app,1m,8Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-9hcwp,azfilesrefresh,app,3m,40Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-9hcwp,azurefile,app,1m,19Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-9hcwp,liveness-probe,app,1m,15Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-9hcwp,node-driver-registrar,app,1m,13Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-9q5pq,azfilesrefresh,app,3m,41Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-9q5pq,azurefile,app,1m,16Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-9q5pq,liveness-probe,app,1m,15Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-9q5pq,node-driver-registrar,app,1m,13Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-dmg8p,azfilesrefresh,app,3m,41Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-dmg8p,azurefile,app,1m,16Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-dmg8p,liveness-probe,app,1m,13Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-dmg8p,node-driver-registrar,app,1m,10Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-mtvtr,azfilesrefresh,app,3m,41Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-mtvtr,azurefile,app,1m,19Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-mtvtr,liveness-probe,app,1m,13Mi
2026-05-16T18:04:31.902131+00:00,kube-system,csi-azurefile-node-mtvtr,node-driver-registrar,app,1m,11Mi
2026-05-16T18:04:31.902131+00:00,kube-system,konnectivity-agent-86b7f9c886-kpfp5,konnectivity-agent,app,3m,17Mi
2026-05-16T18:04:31.902131+00:00,kube-system,konnectivity-agent-86b7f9c886-wlls4,konnectivity-agent,app,4m,16Mi
2026-05-16T18:04:31.902131+00:00,kube-system,konnectivity-agent-autoscaler-95f4794f-d2trr,autoscaler,app,1m,14Mi
2026-05-16T18:04:31.902131+00:00,kube-system,kube-proxy-sm5bj,kube-proxy,app,3m,30Mi
2026-05-16T18:04:31.902131+00:00,kube-system,kube-proxy-vbtxp,kube-proxy,app,3m,25Mi
2026-05-16T18:04:31.902131+00:00,kube-system,kube-proxy-wdljq,kube-proxy,app,4m,33Mi
2026-05-16T18:04:31.902131+00:00,kube-system,kube-proxy-zhhpz,kube-proxy,app,3m,24Mi
2026-05-16T18:04:31.902131+00:00,kube-system,metrics-server-cc9dc8bb4-59k58,metrics-server,app,4m,21Mi
2026-05-16T18:04:31.902131+00:00,kube-system,metrics-server-cc9dc8bb4-59k58,metrics-server-vpa,app,1m,9Mi
2026-05-16T18:04:31.902131+00:00,kube-system,metrics-server-cc9dc8bb4-j9vmz,metrics-server,app,3m,28Mi
2026-05-16T18:04:31.902131+00:00,kube-system,metrics-server-cc9dc8bb4-j9vmz,metrics-server-vpa,app,1m,13Mi
2026-05-16T18:04:31.902131+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-1-848fcd5cf4-wlsg4,inference,app,175m,236Mi
2026-05-16T18:04:31.902131+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-1-848fcd5cf4-wlsg4,istio-proxy,istio-proxy,12m,42Mi
2026-05-16T18:04:31.902131+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-2-7dd948d8d8-9mt5s,inference,app,136m,269Mi
2026-05-16T18:04:31.902131+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-2-7dd948d8d8-9mt5s,istio-proxy,istio-proxy,10m,41Mi
2026-05-16T18:04:31.902131+00:00,rq21b-client-mtls,benchmark-client,client,app,1m,0Mi
2026-05-16T18:04:37.239631+00:00,aks-istio-system,istiod-asm-1-29-75c9d9c6bd-dqx7x,discovery,app,12m,40Mi
2026-05-16T18:04:37.239631+00:00,aks-istio-system,istiod-asm-1-29-75c9d9c6bd-s4967,discovery,app,4m,45Mi
2026-05-16T18:04:37.239631+00:00,kube-system,azure-ip-masq-agent-9vznx,azure-ip-masq-agent,app,1m,7Mi
2026-05-16T18:04:37.239631+00:00,kube-system,azure-ip-masq-agent-jcs77,azure-ip-masq-agent,app,1m,9Mi
2026-05-16T18:04:37.239631+00:00,kube-system,azure-ip-masq-agent-tf22n,azure-ip-masq-agent,app,1m,6Mi
2026-05-16T18:04:37.239631+00:00,kube-system,azure-ip-masq-agent-vlrs9,azure-ip-masq-agent,app,1m,7Mi
2026-05-16T18:04:37.239631+00:00,kube-system,cloud-node-manager-72w6m,cloud-node-manager,app,1m,22Mi
2026-05-16T18:04:37.239631+00:00,kube-system,cloud-node-manager-pc4nw,cloud-node-manager,app,1m,16Mi
2026-05-16T18:04:37.239631+00:00,kube-system,cloud-node-manager-rbckw,cloud-node-manager,app,1m,18Mi
2026-05-16T18:04:37.239631+00:00,kube-system,cloud-node-manager-wlzdd,cloud-node-manager,app,1m,19Mi
2026-05-16T18:04:37.239631+00:00,kube-system,coredns-56cdfd466c-j2md8,coredns,app,2m,25Mi
2026-05-16T18:04:37.239631+00:00,kube-system,coredns-56cdfd466c-rpk4p,coredns,app,2m,20Mi
2026-05-16T18:04:37.239631+00:00,kube-system,coredns-autoscaler-7b4685fdfc-ddv2k,autoscaler,app,1m,12Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-45q55,azuredisk,app,1m,17Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-45q55,liveness-probe,app,1m,14Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-45q55,node-driver-registrar,app,1m,10Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-f6pmj,azuredisk,app,1m,16Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-f6pmj,liveness-probe,app,1m,18Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-f6pmj,node-driver-registrar,app,1m,10Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-hw9fp,azuredisk,app,1m,17Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-hw9fp,liveness-probe,app,1m,16Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-hw9fp,node-driver-registrar,app,1m,13Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-p5swn,azuredisk,app,1m,17Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-p5swn,liveness-probe,app,1m,15Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azuredisk-node-p5swn,node-driver-registrar,app,1m,8Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-9hcwp,azfilesrefresh,app,3m,40Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-9hcwp,azurefile,app,1m,19Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-9hcwp,liveness-probe,app,1m,15Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-9hcwp,node-driver-registrar,app,1m,13Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-9q5pq,azfilesrefresh,app,3m,41Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-9q5pq,azurefile,app,1m,16Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-9q5pq,liveness-probe,app,1m,15Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-9q5pq,node-driver-registrar,app,1m,13Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-dmg8p,azfilesrefresh,app,3m,41Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-dmg8p,azurefile,app,1m,16Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-dmg8p,liveness-probe,app,1m,13Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-dmg8p,node-driver-registrar,app,1m,10Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-mtvtr,azfilesrefresh,app,3m,41Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-mtvtr,azurefile,app,1m,19Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-mtvtr,liveness-probe,app,1m,13Mi
2026-05-16T18:04:37.239631+00:00,kube-system,csi-azurefile-node-mtvtr,node-driver-registrar,app,1m,11Mi
2026-05-16T18:04:37.239631+00:00,kube-system,konnectivity-agent-86b7f9c886-kpfp5,konnectivity-agent,app,3m,17Mi
2026-05-16T18:04:37.239631+00:00,kube-system,konnectivity-agent-86b7f9c886-wlls4,konnectivity-agent,app,4m,16Mi
2026-05-16T18:04:37.239631+00:00,kube-system,konnectivity-agent-autoscaler-95f4794f-d2trr,autoscaler,app,1m,14Mi
2026-05-16T18:04:37.239631+00:00,kube-system,kube-proxy-sm5bj,kube-proxy,app,3m,30Mi
2026-05-16T18:04:37.239631+00:00,kube-system,kube-proxy-vbtxp,kube-proxy,app,3m,25Mi
2026-05-16T18:04:37.239631+00:00,kube-system,kube-proxy-wdljq,kube-proxy,app,4m,33Mi
2026-05-16T18:04:37.239631+00:00,kube-system,kube-proxy-zhhpz,kube-proxy,app,3m,24Mi
2026-05-16T18:04:37.239631+00:00,kube-system,metrics-server-cc9dc8bb4-59k58,metrics-server,app,4m,21Mi
2026-05-16T18:04:37.239631+00:00,kube-system,metrics-server-cc9dc8bb4-59k58,metrics-server-vpa,app,1m,9Mi
2026-05-16T18:04:37.239631+00:00,kube-system,metrics-server-cc9dc8bb4-j9vmz,metrics-server,app,3m,28Mi
2026-05-16T18:04:37.239631+00:00,kube-system,metrics-server-cc9dc8bb4-j9vmz,metrics-server-vpa,app,1m,13Mi
2026-05-16T18:04:37.239631+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-1-848fcd5cf4-wlsg4,inference,app,175m,236Mi
2026-05-16T18:04:37.239631+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-1-848fcd5cf4-wlsg4,istio-proxy,istio-proxy,12m,42Mi
2026-05-16T18:04:37.239631+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-2-7dd948d8d8-9mt5s,inference,app,136m,269Mi
2026-05-16T18:04:37.239631+00:00,rq21b-chain2-mtls,chain-2svc-mtls-multinode-svc-2-7dd948d8d8-9mt5s,istio-proxy,istio-proxy,10m,41Mi
2026-05-16T18:04:37.239631+00:00,rq21b-client-mtls,benchmark-client,client,app,1m,0Mi
